Compound_Score,Neg_Score,Neu_Score,Pos_Score,Timestamp,Tweet_Text,Tweets_Ago,User
0.0,0.0,1.0,0.0,Mon Jan 08 10:34:24 +0000 2018,CES 2018: LG Display shows off large rollable TV screen https://t.co/Symg7Q2mEH,53,BBCWorld
0.3691,0.147,0.602,0.25,Mon Jan 08 10:10:22 +0000 2018,Borussia Dortmund bus bombing suspect 'did not intend to kill' https://t.co/yE3hiXHz6w,54,BBCWorld
0.0,0.0,1.0,0.0,Mon Jan 08 10:08:16 +0000 2018,"""It's not just about our industry, it's about every industry and also every woman around the world.""

Why stars wor… https://t.co/Uu4EVqLAc3",55,BBCWorld
0.0,0.188,0.625,0.188,Mon Jan 08 09:19:30 +0000 2018,Vietnam energy executives stand trial on corruption charges https://t.co/5kIGkOCIgH,56,BBCWorld
-0.4215,0.286,0.714,0.0,Mon Jan 08 08:51:35 +0000 2018,Craig McLachlan: Actor denies sexual misconduct allegations https://t.co/gJUmB5pSJr,57,BBCWorld
-0.1901,0.074,0.926,0.0,Mon Jan 08 08:25:12 +0000 2018,"RT @BBCBenThompson: A new report says we're still spending on booze, cars and stuff for our houses - but we're cutting back on other items.…",58,BBCWorld
0.4215,0.0,0.882,0.118,Mon Jan 08 07:43:42 +0000 2018,"""A new day is on the horizon. When nobody ever has to say 'me too' again."" 

Powerful speeches and statements from… https://t.co/Iwhf2agWQm",59,BBCWorld
0.128,0.129,0.723,0.149,Mon Jan 08 07:40:12 +0000 2018,British actor Gary Oldman won the #GoldenGlobes for his portrayal as Winston Churchill in Darkest Hour. And he than… https://t.co/IN1vgNrm6C,60,BBCWorld
0.0,0.0,1.0,0.0,Mon Jan 08 07:34:39 +0000 2018,Golden Globes: Stars use speeches to call for change https://t.co/hcLedIXluH,61,BBCWorld
-0.1027,0.104,0.896,0.0,Mon Jan 08 07:34:36 +0000 2018,BBC China editor Carrie Gracie has quit her post over equal pay https://t.co/D6LKOcU5pI,62,BBCWorld
0.6901,0.098,0.622,0.28,Mon Jan 08 07:20:06 +0000 2018,Big Little Lies actress Laura Dern won her fourth #GoldenGlobes award on Sunday. She invited the co-founder of… https://t.co/HqnLs0kIXw,63,BBCWorld
0.5719,0.0,0.829,0.171,Mon Jan 08 07:02:06 +0000 2018,".@Oprah is the first black woman to receive the #GoldenGlobes lifetime achievement honour. She said she is ""humbled… https://t.co/N9KYsChUSA",64,BBCWorld
-0.3626,0.122,0.878,0.0,Mon Jan 08 06:45:03 +0000 2018,Here's what Big Little Lies star and executive producer @RWitherspoon had to say about the #GoldenGlobes dominant t… https://t.co/qmivkYJVud,65,BBCWorld
-0.7351,0.471,0.441,0.088,Mon Jan 08 06:40:29 +0000 2018,Golden Globes 2018: Sexual harassment scandal dominates ceremony https://t.co/LVXjngEOMV,66,BBCWorld
0.0,0.0,1.0,0.0,Mon Jan 08 06:10:22 +0000 2018,Golden Globes 2018: Why stars wore black on the red carpet https://t.co/P4LUZTeOFQ,67,BBCWorld
-0.7845,0.496,0.504,0.0,Mon Jan 08 05:55:18 +0000 2018,China oil spill sparks fears of environmental disaster https://t.co/FhvXSbdwo3,68,BBCWorld
-0.6369,0.344,0.656,0.0,Mon Jan 08 05:21:31 +0000 2018,Cardinal Pell: Man who made abuse allegation dies https://t.co/52ndskyYU6,69,BBCWorld
0.34,0.0,0.769,0.231,Mon Jan 08 05:21:31 +0000 2018,Winter Olympics targeted by hackers says security firm https://t.co/PgIiXB2iyJ,70,BBCWorld
0.0,0.0,1.0,0.0,Mon Jan 08 04:34:52 +0000 2018,"RT @BBCNewsAsia: #BTSARMY, this one's for you. 💕

What's in store for the princes of K-pop in 2018? https://t.co/a8AJEGnMwS

👨‍🎤👨‍🎤👨‍🎤👨‍🎤👨‍…",71,BBCWorld
0.836,0.0,0.622,0.378,Mon Jan 08 04:08:44 +0000 2018,"RT @BBCBreaking: Three Billboards Outside Ebbing, Missouri wins 'Best Motion Picture - Drama'

#GoldenGlobes https://t.co/EYJJHWbjY6 https:…",72,BBCWorld
